"","RAV188","RAV1575","RAV324","RAV61","RAV1008","RAV833","RAV868","RAV190","RAV220","RAV64","RAV834","RAV192","RAV438"
"TCGA-G4-6297",0.89694123020333,1.05361931649699,-0.791724152090099,-0.861940561122882,1.06911516714816,-1.15192054723338,-1.07805678516946,-0.861944123531182,0.854834702840642,-0.89357491406529,-0.72700739187364,-0.755449781279679,0.723336745050518
"TCGA-F4-6704",2.17671212954959,1.97814237370985,-1.82621409155433,-2.64051247730483,2.10762395979206,-1.28715686570227,-0.265850726977251,-2.63469167702731,2.00824561080022,-2.10716289107708,-0.544866744385128,-0.321213357623387,-0.93625753438429
"TCGA-AA-3495",-0.700789154872351,-0.224236253825099,0.553243718658858,0.0505076887598308,-0.253049093542941,0.938043097711671,0.320307270403456,0.364844715366157,-0.0659503108435111,0.436006008030471,0.363793327994501,0.0309151471337293,-0.46660374613052
"TCGA-G4-6306",-2.31436713127182,-2.16650831298386,1.68789656058632,2.33054556127736,-2.04492936348887,1.50549216351945,0.280866914823553,2.12535482250639,-1.43071062758399,1.80139540565787,0.755089207710279,0.36362015300547,0.843291080686795
"TCGA-A6-6648",-0.511944801165066,0.237479575465434,0.392835620234435,-1.07977074695045,0.413252584459342,1.15770349242028,1.18567909764162,-0.602144828932982,-0.293409715134081,0.337743658120531,0.262870824129092,1.0638818712765,-2.37210578326271
"TCGA-CM-5861",-0.463977780798184,-1.15185792306846,0.639842775957356,1.77249656897734,-0.882955006562616,0.342701442873233,0.101627078663999,1.66970905352392,-1.03182442751621,0.822537642686582,1.72583625760289,-0.139567358289777,0.763990779965465
"TCGA-CM-5864",-0.810651019377751,-1.17569747741703,0.148248738321062,1.32399760006267,-0.864463926163332,0.523267297717269,0.218480315414232,0.950301624360737,-0.744160700905716,1.10751099749819,-0.552537319613783,-0.755513017882803,0.600835214558102
"TCGA-AA-3492",-0.825259094780329,-0.593152164722397,1.09175294510905,0.374494864399847,-0.937816385190663,0.857160917161402,0.84597350267746,0.885686177982956,-0.318270303619991,0.89761929863637,1.53370426032457,0.112408889000138,-0.752432485293333
"TCGA-DM-A28A",0.0193826287316543,-0.371087679418792,0.0583500201919123,0.186543701208641,-0.0913759515565075,-0.333191629326948,0.465083587281582,-0.194569199405852,-0.644785373484194,0.258485141457785,-1.04113145192816,1.03526761888123,-0.422302486614153
"TCGA-F4-6856",-0.684278212267078,-0.870043692605487,0.475846970837078,1.23543531076606,-0.809274650472393,0.359446144763669,-0.0340198478082817,1.30683164287226,-0.734705308504084,0.630741083410758,1.52392547578416,-0.00286218490911755,0.857174044620195
"TCGA-CM-6674",0.258655925496013,0.0855409493608119,-0.0933621752228305,0.0501106862524034,0.137089198036614,-0.0191841810890247,-0.184543365391674,0.320940945583011,0.257203412463843,-0.113363798346095,1.29279647836974,-0.408737557819936,0.0632460349886844
"TCGA-A6-6142",0.802472882851936,0.436151449139497,-0.739008678355235,-0.155936464765843,0.858958117400947,-1.53443936926935,-1.28044787240418,-0.674242489114428,0.632852673522353,-0.481387979258968,-1.20706141569195,-0.676892238140273,1.26334789270681
"TCGA-D5-6927",0.464540169145492,0.248967106643208,-0.0890126839883771,-0.0585464121230207,-0.191480515647458,-0.475788526754593,-0.534848808022255,0.39207064822256,0.117931761051825,-0.388493219834804,1.17045868241429,-0.284355711119062,0.679249166984755
"TCGA-QG-A5YV",-0.955529617769704,-0.764039548795491,1.08721274689302,0.462209373841089,-0.770515756195742,1.04916808806496,1.06733782288139,0.65023677629556,-1.03050834329923,0.786916271214478,0.00300718255842532,1.0773901808067,-1.10325206048984
"TCGA-CM-6169",0.855323234264185,0.491671154649531,-1.82633122322943,0.432810999163762,0.755006921209097,-1.95888193581058,-2.59270733995285,-0.109267931098559,1.00133977529501,-0.689442217309232,-0.878475065986348,-3.42175462117353,3.47409301086064
"TCGA-AA-3660",-0.328931967511453,-0.164196671712602,0.25374531856462,-0.0108292105812894,-0.0569932668037258,0.44881604969081,0.185932920386592,0.0567145668981953,-0.146875927614295,0.179048438029306,-0.00295503539928627,0.289023299269526,-0.25419761074876
"TCGA-D5-6533",-0.143633815904685,-0.420623820311854,-0.00992437330132884,0.257721930239238,-0.357820101175261,-0.120280568619291,0.158011837058239,0.232322022996889,-0.368598889151143,0.298497883931786,-0.671361071299699,-0.146412052303266,-0.10570350347944
"TCGA-A6-6140",-1.05949192649363,-0.711726006462733,0.759442954803131,0.492927084675225,-0.571102296367372,0.82597865318893,0.472526698082915,0.54174338389895,-0.738406340199864,0.727938023558437,-0.116548813970056,0.597810379220114,-0.545971638087199
